Owner,Repo,Number,Author,Created_at,Updated_at,Closed_at,Merged_at,State,Title,Body,Assignee,Assignees,Requested_reviewers,Labels,Mergeable,Mergeable_state,Comments,Review_comments,Commits,Additions,Deletions,Changed_files
aerickson,volumio-plugins,62,dependabot-preview[bot],2021-04-05 13:47:02,2021-04-12 13:54:52,2021-04-12 13:54:50,,closed,[Security] Bump googleapis from 19.0.0 to 70.0.0 in /plugins/music_service/youtube,14141,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
feldroy,django-crash-starter,222,dependabot-preview[bot],2021-04-05 13:44:35,2021-07-05 13:56:49,2021-07-05 13:56:48,,closed,[Security] Bump pillow from 7.2.0 to 8.2.0 in /{{cookiecutter.project_slug}}/requirements,19088,,0,2,"['dependency update', 'security']",,unknown,2,0,1,1,1,1
visormatt,generator,331,dependabot-preview[bot],2021-04-05 13:32:41,2021-04-29 20:57:43,,,open,[Security] Bump highlight.js from 10.2.0 to 10.7.2,17865,,0,2,"['dependencies', 'security']",False,dirty,1,0,1,4,4,1
dijonkitchen,material-ui-pickers,9,dependabot-preview[bot],2021-04-05 13:31:58,2021-06-28 18:46:13,2021-06-28 18:46:12,,closed,[Security] Bump prismjs from 1.21.0 to 1.23.0,19210,,0,2,"['dependencies', 'security']",True,clean,1,0,1,5,5,2
nathang21,markdown-it,61,dependabot-preview[bot],2021-04-05 13:29:50,2021-05-31 13:18:49,2021-05-31 13:18:48,,closed,[Security] Bump highlight.js from 9.18.5 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,1,1,1
shaped1,Bot,15,dependabot-preview[bot],2021-04-05 13:29:22,2021-06-07 13:22:28,2021-06-07 13:22:26,,closed,[Security] Bump highlight.js from 10.4.0 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,3,3,1
atscott,is-adrian-going,315,dependabot-preview[bot],2021-04-05 13:20:58,2021-04-05 13:20:58,,,open,[Security] Bump yargs-parser from 11.1.1 to 13.1.2,10167,,0,2,"['dependencies', 'security']",True,clean,0,0,1,2080,1800,1
ffffranklin,ffffranklin.github.io,264,dependabot-preview[bot],2021-04-05 13:19:04,2022-10-10 04:14:18,2022-10-10 04:14:18,,closed,[Security] Bump kramdown from 1.17.0 to 2.3.1,5190,,0,2,"['dependencies', 'ruby', 'security']",,unknown,0,0,1,64,47,1
dabutvin,grunt-markdown,122,dependabot-preview[bot],2021-04-05 13:14:09,2021-05-31 13:12:50,2021-05-31 13:12:48,,closed,[Security] Bump highlight.js from 8.4.0 to 10.7.2,17652,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
Vyvy-vi-archives,lets-troll-ryan,6,dependabot-preview[bot],2021-04-05 12:29:50,2021-04-05 12:30:38,2021-04-05 12:30:35,2021-04-05 12:30:35,closed,build(deps): [security] bump react-dev-utils from 11.0.1 to 11.0.4,3992,,0,2,"['dependencies', 'security']",,unknown,0,0,1,15,15,1
Vyvy-vi-archives,lets-troll-ryan,3,dependabot-preview[bot],2021-04-05 12:27:11,2021-04-05 12:30:30,2021-04-05 12:30:19,2021-04-05 12:30:19,closed,build(deps): [security] bump elliptic from 6.5.3 to 6.5.4,4688,,0,2,"['dependencies', 'security']",,unknown,0,0,1,12,12,1
andyesys,npgsql,37,dependabot-preview[bot],2021-04-05 15:55:40,2021-04-05 15:55:41,,,open,[Security] Bump System.Net.Security from 4.3.0 to 4.3.1,3517,,0,2,"['dependencies', 'security']",True,clean,0,0,1,1,1,1
lucaspanjer,activemq,6,dependabot-preview[bot],2021-04-05 13:49:40,2021-05-17 13:55:04,2021-05-17 13:55:02,,closed,[Security] Bump netty-all-version from 4.1.53.Final to 4.1.63.Final,18070,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
andyesys,npgsql,36,dependabot-preview[bot],2021-04-05 15:55:37,2021-04-21 19:35:58,2021-04-21 19:35:57,,closed,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2,3505,,0,2,"['dependencies', 'security']",,unknown,1,0,1,1,1,1
mowatermelon,learning-angular-webapp,59,dependabot-preview[bot],2021-04-05 12:16:23,2021-04-16 12:14:32,2021-04-16 12:14:31,,closed,[Security] Bump open from 0.0.5 to 8.0.5,7164,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
status-board,core,303,dependabot-preview[bot],2021-04-05 11:50:52,2021-05-10 12:56:43,2021-05-10 12:56:40,,closed,chore(deps): [security] bump socket.io from 2.2.0 to 4.0.1,12972,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,1,1,1
ipfs,js-dag-service,446,dependabot-preview[bot],2021-04-05 11:32:39,2021-06-07 11:30:20,2021-06-07 11:30:18,,closed,build(deps): [Security] Bump highlight.js from 10.1.2 to 10.7.2,18132,,0,2,"['dependencies', 'security']",,unknown,1,0,1,4,4,1
msrose,node-package,41,dependabot-preview[bot],2021-04-05 11:32:36,2021-04-19 11:57:12,2021-04-19 11:57:11,,closed,chore: [security] bump npm from 6.13.6 to 6.14.12,11929,,0,2,"['dependencies', 'security']",True,clean,1,0,1,557,340,1
mondeja,remove-labels-gh-action,3,dependabot-preview[bot],2021-04-05 11:31:51,2021-04-05 11:45:02,2021-04-05 11:44:54,2021-04-05 11:44:54,closed,[Security] Bump node-notifier from 8.0.0 to 8.0.2,4927,,0,2,"['dependencies', 'security']",,unknown,1,0,1,6,11,1
Meadowsys,sani,80,dependabot-preview[bot],2021-04-05 11:29:27,2021-06-04 11:25:44,2021-06-04 11:25:43,,closed,[Security] Bump highlight.js from 10.2.0 to 10.7.2,18016,,0,2,"['dependencies', 'security']",,unknown,1,0,1,3,3,1
sayrilamar,react-color,120,dependabot-preview[bot],2021-04-05 11:24:56,2021-05-31 11:12:52,2021-05-31 11:12:50,,closed,[Security] Bump highlight.js from 9.18.5 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
helpyio,helpy,1973,dependabot-preview[bot],2021-04-05 11:52:19,2021-04-29 02:10:34,,,open,[Security] Upgrade: Bump rexml from 3.2.4 to 3.2.5,6279,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,1,1,1
aemc,goal-coach,22,dependabot-preview[bot],2021-04-05 11:19:42,2021-04-05 15:42:40,2021-04-05 15:42:38,2021-04-05 15:42:38,closed,[Security] Bump y18n from 3.2.1 to 3.2.2,4254,,0,2,"['dependencies', 'security']",,unknown,0,0,1,10,14,2
uwpokerclub,app,32,dependabot-preview[bot],2021-04-05 11:19:24,2021-04-06 21:36:20,2021-04-06 21:36:19,2021-04-06 21:36:19,closed,build(deps): [security] bump react-dev-utils from 11.0.3 to 11.0.4,4305,,0,2,"['dependencies', 'security']",,unknown,1,0,1,4,4,2
aemc,jest,28,dependabot-preview[bot],2021-04-05 11:19:01,2021-04-05 11:19:03,,,open,[Security] Bump codecov from 2.3.0 to 3.7.1,7758,,0,2,"['dependencies', 'security']",True,clean,0,0,1,84,9,2
pilleye,jumpstart,78,dependabot-preview[bot],2021-04-05 11:34:11,2021-04-07 20:37:29,,,open,[Security] Bump ansible from 2.9.7 to 3.2.0,2982,,0,2,"['dependencies', 'security']",True,blocked,1,0,1,1,1,1
aemc,goal-coach,21,dependabot-preview[bot],2021-04-05 11:17:29,2021-04-10 16:16:55,2021-04-10 16:16:51,2021-04-10 16:16:51,closed,[Security] Bump eslint-utils from 1.3.1 to 1.4.3,8205,,0,2,"['dependencies', 'security']",,unknown,0,0,1,13,3,1
aemc,material-ui,21,dependabot-preview[bot],2021-04-05 11:17:26,2021-04-05 11:17:27,,,open,[Security] Bump marked from 0.5.1 to 0.7.0,9913,,0,2,"['dependencies', 'security']",True,clean,0,0,1,24,24,2
