Owner,Repo,Private,Description,Fork,Created_at,Updated_at,Pushed_at,Size,Stars,Watchers,Language,Archived,Forks,Open_issues
dabutvin,grunt-markdown,False,Markdown gruntjs task with code highlighting ,True,2018-09-08 03:05:26,2022-12-03 18:02:17,2021-08-03 13:15:37,74,1,1,JavaScript,False,0,11
Vyvy-vi-archives,lets-troll-ryan,False,:),False,2021-01-14 01:47:08,2021-04-13 22:41:10,2021-04-12 11:46:39,3662,0,0,JavaScript,False,0,3
andyesys,npgsql,False,Npgsql is the .NET data provider for PostgreSQL.,True,2017-09-21 08:16:13,2017-09-21 08:16:16,2021-05-28 04:38:46,54771,0,0,C#,False,0,13
lucaspanjer,activemq,False,Mirror of Apache ActiveMQ,True,2020-12-10 05:05:30,2020-12-10 05:05:56,2021-07-19 13:51:05,55665,0,0,,False,0,5
mowatermelon,learning-angular-webapp,False,学习angular之路,False,2017-09-07 11:52:35,2018-04-22 02:46:27,2021-06-21 12:15:49,9985,0,0,CSS,False,0,35
status-board,core,False,@status-board/core,False,2019-03-17 21:50:39,2019-08-15 21:37:04,2021-08-02 11:42:51,342,0,0,TypeScript,False,0,14
ipfs,js-dag-service,False,Library for storing and replicating hash-linked data over the IPFS network.,False,2019-10-28 05:17:14,2023-02-07 23:02:14,2023-03-04 05:03:19,2636,94,94,TypeScript,False,16,51
msrose,node-package,False,:hamburger: A template project for Node.js packages,False,2020-01-19 04:17:29,2020-11-18 21:28:26,2023-01-05 16:23:33,1342,0,0,JavaScript,False,0,29
mondeja,remove-labels-gh-action,False,Action which removes labels from Gtihub issue or pull request,False,2020-12-12 15:11:55,2023-03-09 15:50:38,2023-03-23 13:56:57,1769,4,4,JavaScript,False,0,0
Meadowsys,sani,False,"left around for dependabot to go ham on, go to the below url for up to date repo",True,2020-09-27 03:10:48,2022-08-06 19:03:32,2022-08-06 19:03:29,96,0,0,TypeScript,False,0,15
sayrilamar,react-color,False,":art: Color Pickers from Sketch, Photoshop, Chrome, Github, Twitter & more",True,2017-09-24 01:11:32,2019-06-24 23:21:27,2021-08-03 11:16:37,5480,0,0,JavaScript,False,0,12
helpyio,helpy,False,"Helpy is a modern, open source helpdesk customer support application. Features include knowledgebase, community discussions and support tickets integrated with email.",False,2015-04-01 03:44:22,2023-04-06 10:27:53,2023-03-08 21:42:10,90540,2279,2279,Ruby,False,491,227
aemc,goal-coach,False,Small project to try out react-router library,False,2017-09-08 17:24:33,2022-01-21 17:04:28,2022-01-21 17:04:26,6680,0,0,JavaScript,False,0,15
uwpokerclub,app,False,,False,2021-01-17 02:22:02,2021-10-16 00:28:07,2023-04-06 16:07:33,5503,0,0,TypeScript,False,2,0
aemc,jest,False,🃏 Delightful JavaScript Testing.,True,2017-10-26 14:28:29,2017-10-26 14:28:33,2021-06-16 10:39:20,26553,0,0,JavaScript,False,0,32
